manufacturer,title,price
ESP,LTD EC-1000ET QM DBSB,"1,159"
Epiphone,Les Paul Standard 60큦 IT,575
PRS,SE 245 CA Charcoal Burst,729
PRS,SE Mark Tremonti Standard,544
Cort,MBM-1 Manson Meta Silver,415
ESP,E-II Eclipse QM STBCSB,"2,299"
ESP,E-II Eclipse Snow White,"2,099"
Epiphone,Les Paul Custom Ebony w/Case,605
Harley Benton,SC-Custom Plus EMG VBK,395
ESP,LTD KH-3 Spider,"1,325"
Gibson,Les Paul 59 Washed Cherry VOS,"5,315"
Gretsch,G5230T Electromatic Jet FT BLK,485
Gibson,Les Paul Modern Graphite,"2,299"
Harley Benton,SC-Special Pelham Blue,211
Gibson,Les Paul 60 WTB ULA,"5,935"
Epiphone,Jerry Cantrell Prophecy LP Cus,955
Harley Benton,SC-Junior Faded Cherry,175
Harley Benton,SC-Custom II P90 Black,238
Epiphone,Tommy Thayer Electric Blue LP,699
ESP,LTD EC-1000 Piezo QM STB,"1,099"
Gibson,LP 57 Black Beauty VOS,"5,315"
Epiphone,Les Paul Prophecy Red Tiger,705
Harley Benton,SC-Custom Plus EMG TBF,395
Gibson,Les Paul Junior EB,"1,234"
Harley Benton,SC-Custom Plus EMG BCF,379
Gibson,LP 57 Custom 3PU Bigsby VOS,"5,999"
ESP,E-II Eclipse FT FM TSB,"2,369"
Gibson,Les Paul Slash Standard VB,"2,259"
Gretsch,G5220 EMTC Jet BT Mid.Sapphire,429
Harley Benton,SC-550 II BCF,282
Gibson,Les Paul Standard 50s GT,"2,111"
Epiphone,Les Paul Prophecy Olive Tiger,678
Harley Benton,SC-Custom Plus EMG OCF,395
ESP,LTD EC-256FM STPSB,456
Harley Benton,SC-450Plus CB Vintage Bundle,282
ESP,LTD EC-10 BLK,211
ESP,LTD EC-256FM Cobalt Blue,456
ESP,LTD EC-1000S Fluence BLK,"1,009"
ESP,LTD EC-256 BLK,456
Epiphone,Les Paul Custom Ebony w/Bag,565
Gibson,Les Paul Studio SB,"1,325"
Gibson,Les Paul Studio WR,"1,325"
Gibson,LP Axcess Custom FR EB,"4,429"
Gretsch,G6134TFM-NH Nigel Hendroff DC,"2,965"
Gibson,Les Paul Tribute STB,"1,059"
Epiphone,Nancy Wilson Fanatic Fireburst,477
Gibson,Les Paul Studio EB,"1,325"
Harley Benton,SC-Custom II FR Vintage Bundle,344
Harley Benton,SC-Custom II Active Vintage BK,245
Harley Benton,SC-450 CB Classic Series,123
PRS,Mark Tremonti PQ,"3,895"
Harley Benton,SC-Special Faded White,219
Gibson,Les Paul Custom Peter Frampton,"6,099"
Harley Benton,SC-500 BK Vintage Serie Bundle,264
Gibson,Les Paul Special VintageCherry,"1,234"
Gibson,Les Paul Standard 50s P90,"2,111"
Harley Benton,SC-400 SBK Vintage Seri Bundle,202
Epiphone,Les Paul Modern FPB,529
Larry Carlton,L7 BK,485
ESP,LTD EC-256FM DBSB,439
Harley Benton,SC-Junior Vintage Sunburst,175
Larry Carlton,L7 GT,485
ESP,LTD EC-1000T CMT TSB,"1,149"
Gretsch,G6128T-53 VS Duo Jet BK,"2,599"
Epiphone,Les Paul Muse Radio Blue,435
Gibson,LP 57 Black Beauty 3PU VOS,"5,579"
Harley Benton,SC-Junior Black,175
Harley Benton,SC-400 SBK Vintage Seri Bundle,175
Epiphone,Les Paul Studio LT HCS,211
Epiphone,Les Paul Studio Ebony,395
Larry Carlton,L7 TBL,485
Gretsch,G5230T Elmtc. Jet SC Bgsby CG,485
Epiphone,Les Paul Standard 60큦 w/Bag,474
Epiphone,Les Paul Modern Figured MOF,619
Harley Benton,SC-DLX Gotoh Black Bundle,422
Hagstrom,Fantomen Black,795
Gibson,Les Paul Slash Standard NB LH,"2,389"
Chapman Guitars,ML2 Pro River Styx Black,"1,059"
Harley Benton,SC-500 WH Vintage Serie Bundle,264
Kramer Guitars,Assault 220 FR AW,309
Harley Benton,SC-550 Plus EMG PAF Bundle,369
PRS,SE Tremonti Custom CA,795
Larry Carlton,L7V GD Top,511
Gretsch,G2215-P90 Strml Jr. Jet Club B,315
ESP,E-II Eclipse FM BLK NAT B,"2,299"
Gibson,Les Paul Custom SIB CH,"4,429"
ESP,E-II Eclipse DB GRANSP,"2,345"
ESP,E-II Eclipse QM RDB,"2,369"
PRS,S2 McCarty SC594 FS,"1,899"
ESP,LTD EC-1000 BP BLUNFD,969
Gretsch,G2215-P90 Strml Jr. Jet Club M,353
Harley Benton,SC-200 BK Student Serie Bundle,185
Epiphone,Les Paul SL Vintage Sunburst,140
Gibson,LP Junior 57 Singlecut VSB VOS,"2,999"
Epiphone,Les Paul Custom Alpine White,566
Harley Benton,SC-500 BK Vintage Serie Bundle,309
Epiphone,Les Paul Junior VSB,333
Epiphone,Les Paul Classic Worn Purple,379
ESP,LTD EC-256 Snow White,439
Taylor,T5z Classic DLX,"2,299"
Hagstrom,Fantomen White,795
Epiphone,Les Paul Muse Jet Black,422
Gibson,Les Paul 56 Goldtop VOS,"4,159"
Epiphone,Les Paul Muse Wanderlust Green,422
Gretsch,G5230T Electromatic Jet FT FBR,485
Epiphone,Les Paul Modern Figured CBF,511
ESP,LTD EC-1000FR See Thru Black,"1,159"
Gretsch,G5220 EMTC Jet BT Bristol Fog,405
Hagstrom,Ultra Swede CBB,511
Heritage Guitar,H-150 Custom Core DLB,"4,249"
Gretsch,G5220 Electromatic Jet BT BK,435
Epiphone,Les Paul Muse Purple Passion,395
ESP,LTD EC-1000 Black,"1,015"
Gibson,LP Axcess Figured FR DC Rust,"4,333"
Hagstrom,Ultra Max Dark Storm Burst,609
ESP,LTD EC-1000 Gold Andromeda,"1,279"
Godin,Summit Classic HT Havana Brown,"1,459"
Schecter,Solo-II Blackjack BLK,"1,505"
Larry Carlton,L7 WH,529
Maybach,Lester Honey Pie 59 aged,"2,035"
Duesenberg,Senior BD,"1,899"
ESP,LTD EC-401 Black,855
Godin,Radiator Matte Black RN,"1,195"
ESP,LTD EC-1000FM Amber Sunburst,"1,015"
Solar Guitars,GC1.6FR Killertone Flame Black,"1,234"
Maybach,Lester Midnight Sunset 60 aged,"2,035"
ESP,Iron Cross SW,"5,625"
Harley Benton,SC-450 P90 GT Classic S Bundle,149
Epiphone,Slash Les Paul Metallic Gold,688
ESP,LTD EC-401 Olympic White,855
Gibson,Les Paul Deluxe 70s GT,"2,299"
Gretsch,G2210 Streaml. Jr. Jet Club VW,264
Gibson,Les Paul Deluxe 70s CS,"1,939"
Epiphone,Les Paul Classic Worn H w/Bag,400
Duesenberg,Alliance Series Jeff Darosa,"2,295"
ESP,LTD EC-1000 VLAND,"1,234"
ESP,E-II Eclipse DB VB,"2,099"
ESP,E-II Eclipse Evertune BLKS,"2,525"
Gretsch,G6129T-89VS 89 SJ Bgsby GSP,"2,525"
Harley Benton,SC-DLX Gotoh Black Bundle,309
Solar Guitars,GC1.6FR Killertone Fla B-Stock,"1,059"
Harley Benton,SC-550 II DFB Bundle,288
Heritage Guitar,H-150 Custom Core TSB,"4,249"
Harley Benton,SC-450Plus VB Vintage S Bundle,273
ESP,LTD AS 1FRFM BLKAQSB,"1,505"
Harley Benton,SC-450Plus CB Vintage S Bundle,195
Gibson,LP Standard 60 WC VOS,"5,049"
Epiphone,Les Paul Special VE HCSB,132
Gibson,LP 57 Custom 3PU Bigsby Gloss,"6,899"
Harley Benton,SC-DLX Gotoh Daph. Blue Bundle,259
PRS,S2 McCarty SC594 SR,"1,679"
Gibson,Les Paul 58 Lemon Burst VOS,"4,249"
Epiphone,Les Paul Studio Wine Re w/Bag,411
Hagstrom,Ultra Max Fall Sky Satin,589
Duesenberg,Senior BK,"1,999"
Stanford,CR Marquee CA,722
ESP,LTD EC-1000 BP BLKNB,969
ESP,E-II Eclipse BM Blue Nat Fade,"2,299"
Maybach,Lester Wild Cherry 59 aged,"2,035"
PRS,S2 McCarty SC594 ER,"1,945"
Harley Benton,SC-Custom II Oc. Flame Bundle,353
PRS,S2 McCarty SC594 EY,"1,859"
ESP,E-II Eclipse DB PSP,"2,299"
DAngelico,Deluxe Atlantic Solid Black,"1,325"
Maybach,Lester Cherry Lane 58 aged,"2,035"
Epiphone,Les Paul Studio Alpine w/Bag,411
Gibson,Les Paul Standard 60s Faded,"2,111"
Harley Benton,SC-550 II FTF Bundle,288
Harley Benton,SC-DLX Gotoh Black B-Stock,255
Maybach,Lester Gold Rush 57,"2,035"
Kramer Guitars,Assault 220 FR AW w/Bag,325
ESP,LTD EC-1000FM Evertune STBLK,"1,175"
Schecter,Solo-II Supreme CEBB,"1,799"
Harley Benton,SC-DLX Gotoh PelhamBlue Bundle,277
Gibson,Les Paul 60 Tangerine BurstVOS,"5,222"
Epiphone,Les Paul Custom Alpine w/Bag,579
PRS,S2 McCarty SC594 WB,"1,859"
Harley Benton,SC-450Plus HB Vintage Bundle,264
Harley Benton,SC-DLX Gotoh Shell Pin B-Stock,195
Harley Benton,SC-Junior Pelham Blue,175
Gibson,57 LP Special SC TVY VOS NH,"3,275"
Epiphone,Les Paul Special VE EBV w/Bag,175
Gretsch,G2210 Streaml. Jr. Jet Club IS,282
Epiphone,Les Paul SL Vintage Sun Bundle,243
Epiphone,Les Paul Special VE VSB w/Bag,185
Solar Guitars,GC1.6C,929
Harley Benton,SC-DLX Gotoh Shell Pink Bundle,245
Harley Benton,SC-1000 SBK Progressive Bundle,282
Solar Guitars,GC1.6TBR,885
Harley Benton,SC-Custom II Oc. Flame Bundle,333
Gibson,Les Paul Standard 60s  B-Stock,"1,969"
DAngelico,DLX SS Baritone Satin Honey,"1,769"
Gibson,Les Paul 59 Kindred Burst UHA,"8,899"
Harley Benton,SC-550 II BCF Bundle,304
Harley Benton,SC-DLX Gotoh Daphne Bl B-Stock,219
Jackson,JS22 SC Monarkh AH SBlack,194
Harley Benton,SC-Custom Plus EMG FR Bundle,499
Harley Benton,SC-450PlusHB Vint. Ser. Bundle,175
Gibson,Les Paul 58 Washed Cherry VOS,"4,429"
ESP,LTD EC-1001FM Tiger Eye,"1,099"
DAngelico,Deluxe Brighton Solid Black,"1,325"
Godin,Radiator Bourbon Burst RN,885
Heritage Guitar,H-150 Custom Core DCSB,"4,249"
Harley Benton,SC-500 WH Vintage Serie Bundle,309
Harley Benton,SC-200LH BK Student Series,105
Harley Benton,SC-550 Plus EMG FTF Bundle,369
Harley Benton,SC-Custom II Vintage B B-Stock,199
DAngelico,DLX SS Barit. Satin Trans Wine,"1,769"
Cort,Classic Rock CR250 TBK,353
Schecter,Solo II Custom Black Burst,"1,099"
Cort,MBM-2H Manson Meta SUS SB,955
Harley Benton,SC-Custom Plus EMG TBF Bundle,411
ESP,E-II Eclipse BB BLKS,"2,099"
Harley Benton,SC-Special TV Yellow Bundle,225
Harley Benton,SC-500 BK Vintage Serie Bundle,389
Epiphone,Les Paul Player Pack EB,211
PRS,S2 McCarty SC594 FR B-Stock,"1,679"
Epiphone,Les Paul Studio Ebony w/Bag,409
Gretsch,G2210 Streaml. Jr. Jet Club GN,272
Harley Benton,SC-450 P90 GT Classic S Bundle,199
PRS,SE 245 VS Vintage Burst,729
Harley Benton,SC-DLX Gotoh Daph. Blue Bundle,349
Harley Benton,SC-Junior Black Bundle,189
Maybach,Lester Black Velvet 57,"2,035"
Harley Benton,SC-450Plus VB V. Series Bundle,175
Harley Benton,SC-Custom Plus EMG VBK Bundle,411
Harley Benton,SC-Custom Plus EMG BCF Bundle,395
ESP,LTD EC-1000T HBS,"1,149"
Harley Benton,SC-450Plus HB Vintage Bundle,282
DAngelico,Premier Brandon Niederauer Atl,749
Epiphone,Les Paul Studio Smokehouse B,395
Harley Benton,SC-200BK Student Series Bundle,202
Harley Benton,SC-Custom II FR Vint. B-Stock,282
ESP,LTD EC-1000 Vintage Bl B-Stock,811
ESP,LTD EC-401 Black B-Stock,739
Harley Benton,SC-1000 WH Progressive Bundle,299
Harley Benton,SC-1000 SBK Progressive Bundle,299
Harley Benton,SC-Custom Plus EMG VBK B-Stock,332
Harley Benton,SC-500 WH Vintage Seri B-Stock,128
DAngelico,Premier Atlantic Oxblood,575
Guild,Aristocrat P90 VSB,659
PRS,S2 McCarty SC594 FR,"1,939"
Harley Benton,SC-1000SBK Progressive B-Stock,140
Harley Benton,SC-Junior Vintage Sunbu Bundle,189
DAngelico,Deluxe Atlantic LE Sapphire,"1,459"
ESP,LTD EC-256 Black Satin Bundle,588
Harley Benton,SC-450 BK Classic Serie Bundle,238
Godin,Summit Classic HT Trans White,"1,369"
Harley Benton,SC-450 P90 GT Classic S Bundle,252
Harley Benton,SC-DLX Gotoh PelhamBlue Bundle,359
ESP,LTD GH 600 BLK B-Stock,"1,234"
Gibson,Les Paul Standard 60s  B-Stock,"1,969"
FGN,Neo Classic NLS10RFM FCB,"1,234"
Harley Benton,SC-400 SGT Classic Seri Bundle,211
Harley Benton,SC-DLX Gotoh Shell Pink Bundle,325
DAngelico,Deluxe Atlantic LE Rust,"1,459"
ESP,LTD EC-256 Black Satin Bundle,588
Harley Benton,SC-450Plus LD Vintage S Bundle,289
Harley Benton,SC-450Plus HB Vintage S Bundle,225
FGN,Neo Classic LC10 Classic White,"1,415"
Epiphone,Les Paul Prophecy Oliv B-Stock,579
Harley Benton,SC-450Plus HB Vintage S Bundle,208
Harley Benton,SC-450Plus VB V. Series Bundle,175
Harley Benton,SC-450 P90 GT Classic  B-Stock,108
Harley Benton,SC-Junior Faded Cherry B-Stock,163
Heritage Guitar,H-150 VCSB,"2,525"
Harley Benton,SC-Custom II Act. Vint. Bundle,369
Kramer Guitars,Assault 220 FR Black,309
Harley Benton,SC-DLX Gotoh Shell Pink Bundle,359
Harley Benton,SC-Custom II Silver Bu B-Stock,195
Larry Carlton,L7V TS,511
Harley Benton,SC-Special TV Yellow Bundle,225
Harley Benton,SC-DLX Gotoh PelhamBlue Bundle,395
Harley Benton,SC-Custom Plus EMG TBF B-Stock,366
PRS,Mark Tremonti 10 Top CC FWBSB,"4,429"
Chapman Guitars,ML2 Pro Azure Blue B-Stock,929
Harley Benton,SC-200BK Student Series Bundle,219
Epiphone,Les Paul Classic Honey B-Stock,405
Harley Benton,SC-400 SGT Classic Seri Bundle,245
Schecter,Kenny Hickey Solo-6 EX S,"1,369"
Gibson,Les Paul Tribute SCS B-Stock,929
Harley Benton,SC-Junior Black B-Stock,149
Duesenberg,Alliance Series Dave Baksh,"2,555"
PRS,Mark Tremonti CC Black WA,"3,985"
Harley Benton,SC-400 SBK Vintage Bundle,238
Cort,MBM-2 Meta Dry Satin Black LH,619
Harley Benton,SC-1000 WH Progressive Bundle,283
Epiphone,Les Paul Classic HCS B-Stock,379
Epiphone,Les Paul Modern Sparkl B-Stock,465
Epiphone,Tommy Thayer Electric  B-Stock,649
Harley Benton,SC-550 II Silver Burst,255
Gibson,LP Special SC TV Yellow,"1,369"
Epiphone,1959 LP Standard Outfi B-Stock,633
Gibson,Les Paul 59 LB HA,"11,519"
Gibson,Les Paul Modern Pelham Blue,"2,199"
ESP,LTD EC-1000FM Amber Su B-Stock,885
Duesenberg,Alliance Series Tom Bukovac,"2,479"
Harley Benton,SC-Custom II Act. Vint. Bundle,353
Harley Benton,SC-DLX Gotoh Black Bundle,389
Gibson,LP Junior 57 Singlecut TVY VOS,"2,999"
Gibson,Les Paul 59 Lemonburst UHA,"8,859"
ESP,LTD EC-201 Black Satin,579
Heritage Guitar,H-150 DLB,"2,655"
DAngelico,Premier Atlantic Black Flake,575
Hagstrom,Fantomen Tobacco Sunburst,795
Gibson,Les Paul 68 Custom AVW LA,"6,729"
Gretsch,G2210 Streaml. Jr. Jet B-Stock,229
Gretsch,G6134T-58 VS Penguin,"3,189"
Epiphone,Les Paul Custom Ebony B-Stock,511
Solar Guitars,GC1.6 Vinter Pearl White Matte,"1,149"
Solar Guitars,GC1.6NC FTB,"1,549"
Harley Benton,SC-Custom Plus EMG OCF B-Stock,366
ESP,LTD EC-1000 QM STPSB,"1,234"
Gretsch,G5230T Electromatic Je B-Stock,419
ESP,LTD EC-1000T Evertune BK,"1,635"
Cort,MBM-1 Manson Meta Silv B-Stock,385
Gretsch,G6128T Jet FT Black,"2,111"
Epiphone,Les Paul Special VE EB B-Stock,145
Harley Benton,SC-200LH BK Student Se B-Stock,86
Larry Carlton,L7V BK,566
PRS,Mark Tremonti CH 10 Top,"4,429"
Larry Carlton,L7 GT B-Stock,393
Gibson,Les Paul 59 Lemonburst UHA,"8,859"
Harley Benton,SC-200 BK Student Serie Bundle,166
Gretsch,G6228 Jet BT Black,"2,035"
Framus,Panthera Supreme BK Showroom,"1,769"
Gibson,Les Paul Standard 60s OLF ULA,"6,199"
Gretsch,G5230T Elmtc. Jet SC B B-Stock,449
Harley Benton,SC-450Plus HB Vintage S Bundle,315
Maybach,Lester 54 Custom P90 Bigsby,"2,259"
Gibson,Les Paul 59 GLF Heavy Aged,"8,595"
ESP,LTD EC-1000T CTM FM VS,"1,369"
Maybach,Lester Gold Rush 90,"2,035"
Gibson,LP 57 Custom 3PU Bigsby LA,"7,969"
Gretsch,G6228TG-PE Jet Bigsby MSPH,"2,345"
PRS,S2 McCarty 594 Black Sunburst,"1,945"
Godin,DS-1 Daryl Stuermer Signature,"1,939"
Maybach,Lester Wild Saffron CustomShop,"2,879"
Framus,D-Series Panthera Supreme BB,722
Harley Benton,SC-400 SGT Classic Seri Bundle,194
Godin,Radiator Faded Cream RN,"1,222"
Chapman Guitars,ML2 Slate Black Satin,659
Gibson,Les Paul 59 FB ULA,"6,599"
ESP,LTD WA Warbird incl Case,"1,505"
Framus,D-Series Panthera Supreme BK,722
Gibson,Les Paul 54 Goldtop Heavy Aged,"6,799"
Heritage Guitar,H-150 OSB,"2,655"
Maybach,Little Wing Arched Top C MSA,"2,345"
Gretsch,G6129T-89VS 89 SJ Bgsby SSP,"2,525"
Gretsch,G6128T Pl.Ed. Jet DS Bigsby LI,"2,169"
Harley Benton,SC-450 CB Classic Seri B-Stock,114
Gibson,Les Paul 68 Custom Ebony ULA,"6,111"
Chapman Guitars,ML2 Buttercream Satin,659
Maybach,Lester 59 P90 Pelham Blue aged,"2,035"
Heritage Guitar,H-150 Oxblood,"2,655"
Maybach,Lester Havanna Tobacco 58 aged,"2,035"
Harley Benton,SC-450Plus LD / Mooer Bundle,308
ESP,LTD EC-1000T CTM VGS,"1,369"
Epiphone,Les Paul Special VE EBV Bundle,259
ESP,LTD EC-1000 QM STPSB LH,"1,234"
Chapman Guitars,ML2 Deep Red Satin,659
ESP,LTD EC-1000T Evertune BK LH,"1,415"
Journey Instruments,OE990BL Travel El. Guitar FB,439
PRS,McCarty SC594 CC EV Smokeburst,"4,075"
Solar Guitars,GC1.6AAN,"1,195"
Framus,Panthera II Supreme ATHPS,"3,365"
Gibson,Les Paul 59 SF Light Aged,"7,085"
Gibson,Les Paul 58 FB Light Aged,"5,759"
Gibson,Les Paul 58 Bourbon Burst ULA,"5,405"
Gibson,57 LP Junior SC TV Yellow ULA,"3,809"
Schecter,Solo II Custom ABSN,"1,129"
Gibson,Les Paul Modern Burgundy,"2,299"
ESP,LTD EC-1000T CTM FM VS LH,"1,369"
Gibson,57 LP Junior SC Ebony HA,"5,579"
Maybach,Lester Honey Pie 60 aged,"2,111"
Framus,Panthera II Supreme LBTH,"3,455"
Journey Instruments,OE990CB Travel El. Guitar CB,439
Epiphone,Les Paul Special VE VS B-Stock,140
Maybach,Lester Earl Grey FTB 60,"2,035"
Gibson,Les Paul 57 Ebony Gloss,"4,159"
Maybach,Lester Midnight Sunset P90aged,"2,035"
Gibson,Les Paul 58 GPB Light Aged,"5,759"
ESP,LTD EC-256FM DBSB B-Stock,405
Gibson,Les Paul 59 GPB Light Aged,"7,085"
Gibson,Les Paul 56 Goldtop ULA,"5,111"
Gibson,Les Paul 59 DL Light Aged,"7,529"
Gibson,Les Paul 59 GPB Heavy Aged,"8,595"
Framus,Panthera II Supreme BTHP,"3,455"
Harley Benton,SC-450Plus LD Vintage S Bundle,333
Journey Instruments,OE990BK Travel El. Guitar BK,439
Gibson,57 LP Junior SC TV Yellow HA,"5,399"
Gibson,Les Paul 54 Goldtop VOS LH,"4,159"
Gibson,Les Paul 57 Goldtop ULA,"5,111"
Gibson,Les Paul 59 Southern Fade ULA,"6,599"
Heritage Guitar,H-150 Artisan Aged FSR AB,"3,099"
PRS,S2 McCarty SC594 CC,"1,945"
Gibson,Les Paul 57 Goldtop VOS LH,"4,429"
Harley Benton,SC-400 SGT Cl. Series Bundle,369
Gibson,LP Axcess Custom FR Silver Spk,"5,111"
Gibson,Les Paul 59 Washed Cherry VOS,"5,315"
Schecter,Solo-II FR Apocalypse RR,"1,589"
Harley Benton,SC-200 BK Student Serie Bundle,255
Harley Benton,SC-400 SGT Classic Seri Bundle,289
Gibson,Les Paul 58 Lemon Burst Gloss,"4,429"
Maybach,Little Wing Flat Top Cut EGrey,"2,079"
Schecter,Solo-II Custom GNAT,"1,415"
Gibson,Les Paul 58 WC ULA,"5,405"
Heritage Guitar,H-150 Custom Core PT Aged TSB,"4,739"
Gibson,Les Paul 57 Goldtop UHA,"6,444"
Gibson,Les Paul 59 STB ULA,"6,599"
Heritage Guitar,H-150 Custom Core PT DSB,"4,075"
Danelectro,57 Jade,575
ESP,LTD EC-1000 QM CHB,"1,369"
Gibson,LP 57 Black Beauty 3PU Gloss,"6,199"
Harley Benton,SC-550 II Silver Burst Bundle,279
Gibson,Les Paul 59 Lemonburst ULA,"6,199"
Gibson,LP Axcess Custom FR AspenWhite,"5,111"
Gibson,Les Paul 57 Goldtop Bigsby,"4,429"
Gibson,Les Paul 59 Lemon Burst Gloss,"5,579"
PRS,Mark Tremonti FR,"3,809"
Jackson,JS22 AH SC Monarkh Snow White,202
Schecter,Solo-II SLS Elite Evil Twin,"1,459"
Gibson,Les Paul 59 Murphy Lab DB UHA,"11,519"
PRS,S2 McCarty SC594 LB,"1,899"
Gibson,Les Paul 59 BS VOS Ltd,"5,755"
Harley Benton,SC-450 CB Classic Serie Bundle,282
Danelectro,57 Limo Black,575
PRS,Mark Tremonti CH,"3,809"
Maybach,Lester Masterbuilt Custom WHA,"4,869"
Gretsch,G5220 Elmtc. Jet BT SC B-Stock,339
PRS,Mark Tremonti FW 10 Top,"4,429"
